task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	ce/051203	67742	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (data2)	COMPLETED	0	2022-08-04 10:43:37.052	1.3s	24ms	76.2%	0	0	93 KB	892 B
1	80/92985f	67954	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (data1)	COMPLETED	0	2022-08-04 10:43:38.320	1s	12ms	100.0%	0	0	93 KB	875 B
2	a9/40f51f	22015	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	CACHED	0	2022-08-04 10:10:58.029	1.4s	382ms	161.1%	5.7 MB	13.3 MB	36.6 MB	62.3 MB
5	6c/1bd41d	68228	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (data2)	COMPLETED	0	2022-08-04 10:43:39.335	14s	14s	104.8%	494.9 MB	1 GB	35.7 MB	9.1 KB
4	7c/71df5b	68747	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (data2)	COMPLETED	0	2022-08-04 10:43:53.339	7.5s	5s	138.2%	157.1 MB	3.2 GB	20 MB	2.3 MB
7	87/addcf0	69363	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (data1)	COMPLETED	0	2022-08-04 10:44:00.813	5.9s	4s	181.4%	139 MB	3.2 GB	20.1 MB	2.4 MB
8	ac/a8ef50	69803	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_QUALITY (single_end)	COMPLETED	0	2022-08-04 10:44:06.751	19.6s	19s	106.9%	1.2 GB	2.4 GB	37.2 MB	853.9 KB
6	a5/76eda9	70442	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_FILTNTRIM (data1)	COMPLETED	0	2022-08-04 10:44:26.342	13.3s	13s	102.8%	517.6 MB	1 GB	35.7 MB	8.8 KB
10	40/ed4bc8	70942	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (A)	COMPLETED	0	2022-08-04 10:44:39.671	14.3s	13s	112.1%	538.3 MB	1 GB	36.1 MB	205.2 KB
9	f4/c6527c	71437	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_ERR (B)	COMPLETED	0	2022-08-04 10:44:53.995	15.6s	15s	109.6%	494.7 MB	1 GB	36.1 MB	205.2 KB
11	e5/506023	71940	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (A)	COMPLETED	0	2022-08-04 10:45:09.566	13.9s	12s	107.1%	494.9 MB	1 GB	35.7 MB	9.1 KB
12	e0/f44690	72456	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING (B)	COMPLETED	0	2022-08-04 10:45:23.440	13.4s	12s	103.2%	495.1 MB	1 GB	35.7 MB	7.3 KB
13	d7/bd0150	72954	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (A)	COMPLETED	0	2022-08-04 10:45:36.823	12.8s	12s	112.0%	494.9 MB	1 GB	35.7 MB	1.2 KB
14	4b/fb6441	73449	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA (B)	COMPLETED	0	2022-08-04 10:45:49.645	12.7s	12s	108.0%	494.6 MB	1 GB	35.7 MB	1.1 KB
