task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	4f/acde4c	27640	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Zacatecas)	COMPLETED	0	2022-09-16 14:53:05.056	904ms	13ms	100.0%	0	0	92.6 KB	886 B
5	05/7e5d07	27870	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Chihuahua)	COMPLETED	0	2022-09-16 14:53:05.976	884ms	10ms	114.3%	0	0	92.6 KB	871 B
3	33/2a39da	28158	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Adobera_artesanal)	COMPLETED	0	2022-09-16 14:53:06.873	723ms	7ms	133.3%	0	0	92.6 KB	871 B
2	63/fdc1ba	28351	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Adobera_pasteurizada)	COMPLETED	0	2022-09-16 14:53:07.623	919ms	18ms	80.0%	2.8 MB	3.9 MB	92.6 KB	870 B
6	0e/75c86b	28602	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Chiapas)	COMPLETED	0	2022-09-16 14:53:08.551	913ms	9ms	88.9%	0	0	92.6 KB	870 B
7	66/6656ac	28913	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Ranchero_Estado_de_Mexico)	COMPLETED	0	2022-09-16 14:53:09.472	786ms	8ms	133.3%	0	0	92.7 KB	871 B
9	55/fbcdea	29134	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Zacatecas)	COMPLETED	0	2022-09-16 14:53:10.269	1.1s	1s	95.6%	10.9 MB	16.1 MB	3.4 MB	32.6 KB
8	eb/93d1ff	29360	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Zacatecas)	COMPLETED	0	2022-09-16 14:53:11.396	5.5s	4s	156.5%	155.4 MB	3.2 GB	20 MB	2.4 MB
10	5e/6dc51c	29786	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Chihuahua)	COMPLETED	0	2022-09-16 14:53:16.910	4.3s	2s	178.5%	132.6 MB	3.2 GB	20 MB	2.5 MB
11	2c/dbb616	30164	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Chihuahua)	COMPLETED	0	2022-09-16 14:53:21.242	987ms	0ms	106.7%	10.6 MB	15.9 MB	3.4 MB	32.4 KB
12	60/7427c6	30388	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Adobera_artesanal)	COMPLETED	0	2022-09-16 14:53:22.238	931ms	0ms	109.1%	11.7 MB	16.5 MB	3.4 MB	32.5 KB
13	26/2c6f4f	30613	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Adobera_artesanal)	COMPLETED	0	2022-09-16 14:53:23.182	5.4s	4s	144.9%	164.1 MB	3.2 GB	20 MB	2.4 MB
14	bb/40566a	31037	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Adobera_pasteurizada)	COMPLETED	0	2022-09-16 14:53:28.614	5.6s	3s	133.2%	135.5 MB	3.2 GB	20 MB	2.4 MB
15	b7/697b0a	31475	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Adobera_pasteurizada)	COMPLETED	0	2022-09-16 14:53:34.169	850ms	0ms	113.6%	10.6 MB	15.9 MB	3.4 MB	32.3 KB
16	7d/942a1e	31705	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Chiapas)	COMPLETED	0	2022-09-16 14:53:35.025	877ms	0ms	114.3%	10.9 MB	15.9 MB	3.4 MB	32.7 KB
17	62/b586a7	31935	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Chiapas)	COMPLETED	0	2022-09-16 14:53:35.922	4.3s	2s	183.1%	145.4 MB	3.2 GB	20 MB	2.4 MB
19	88/f25efa	32299	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Ranchero_Estado_de_Mexico)	COMPLETED	0	2022-09-16 14:53:40.225	899ms	0ms	108.2%	11 MB	16.2 MB	3.4 MB	32.8 KB
18	a9/561dea	32521	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Ranchero_Estado_de_Mexico)	COMPLETED	0	2022-09-16 14:53:41.133	4.3s	3s	184.5%	151.7 MB	3.2 GB	20 MB	2.4 MB
